interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load_forecast.load_forecast,net_load,renewables,renewables_to_load_ratio,load.load,fuel_mix.solar,fuel_mix.wind,fuel_mix.geothermal,fuel_mix.biomass,fuel_mix.biogas,fuel_mix.small_hydro,fuel_mix.coal,fuel_mix.nuclear,fuel_mix.natural_gas,fuel_mix.large_hydro,fuel_mix.batteries,fuel_mix.imports,fuel_mix.other
2025-12-17T05:00:00-08:00,2025-12-17 13:00:00+00:00,2025-12-17T06:00:00-08:00,2025-12-17 14:00:00+00:00,22157.372083333333,19133.666666666667,6480.2500000000000000,0.29062023499865458786,22298.000000000000,-40.6666666666666667,3205.0000000000000000,736.5833333333333333,234.7500000000000000,152.0000000000000000,238.2500000000000000,0E-20,1126.6666666666666667,5783.3333333333333333,1954.3333333333333333,913.8333333333333333,8191.0833333333333333,0E-20
2025-12-17T06:00:00-08:00,2025-12-17 14:00:00+00:00,2025-12-17T07:00:00-08:00,2025-12-17 15:00:00+00:00,24021.507708333333,21755.833333333333,6084.1666666666666667,0.24943543069548788696,24391.750000000000,-14.9166666666666667,2650.8333333333333333,736.4166666666666667,238.0000000000000000,151.1666666666666667,248.3333333333333333,0E-20,1125.7500000000000000,5981.0000000000000000,2074.3333333333333333,3656.7500000000000000,7378.9166666666666667,0E-20
2025-12-17T07:00:00-08:00,2025-12-17 15:00:00+00:00,2025-12-17T08:00:00-08:00,2025-12-17 16:00:00+00:00,25346.668541666667,20956.250000000000,8194.6666666666666667,0.31683270398102922064,25864.333333333333,2540.9166666666666667,2367.1666666666666667,736.6666666666666667,236.7500000000000000,149.6666666666666667,248.2500000000000000,0E-20,1125.5000000000000000,6041.0833333333333333,1915.2500000000000000,1435.0000000000000000,8996.3333333333333333,0E-20
2025-12-17T08:00:00-08:00,2025-12-17 16:00:00+00:00,2025-12-17T09:00:00-08:00,2025-12-17 17:00:00+00:00,25414.778750000000,14425.083333333333,14183.166666666667,0.54961087609390643652,25805.833333333333,9072.9166666666666667,2307.8333333333333333,727.0833333333333333,239.0833333333333333,147.2500000000000000,251.5000000000000000,0E-20,1126.0833333333333333,5000.7500000000000000,1437.5000000000000000,-2897.9166666666666667,8468.0833333333333333,0E-20
2025-12-17T09:00:00-08:00,2025-12-17 17:00:00+00:00,2025-12-17T10:00:00-08:00,2025-12-17 18:00:00+00:00,24823.265416666667,10626.9166666666666667,16979.166666666667,0.67883177632368034008,25012.333333333333,11849.500000000000,2535.9166666666666667,720.7500000000000000,239.5000000000000000,147.7500000000000000,218.9166666666666667,0E-20,1126.4166666666666667,4366.9166666666666667,1266.8333333333333333,-5437.1666666666666667,8109.3333333333333333,0E-20
2025-12-17T10:00:00-08:00,2025-12-17 18:00:00+00:00,2025-12-17T11:00:00-08:00,2025-12-17 19:00:00+00:00,23924.013958333333,8941.5000000000000000,17491.750000000000,0.73124007134695241589,23920.666666666667,11898.583333333333,3080.5833333333333333,716.0833333333333333,240.1666666666666667,147.5833333333333333,210.2500000000000000,0E-20,1126.8333333333333333,3745.6666666666666667,1198.5000000000000000,-6358.0000000000000000,8240.3333333333333333,0E-20
2025-12-17T11:00:00-08:00,2025-12-17 19:00:00+00:00,2025-12-17T12:00:00-08:00,2025-12-17 20:00:00+00:00,23130.272708333333,6764.0000000000000000,18239.333333333333,0.80976129519186657111,22524.333333333333,12162.750000000000,3597.5833333333333333,731.4166666666666667,240.2500000000000000,149.9166666666666667,209.0833333333333333,0E-20,1125.1666666666666667,3335.5833333333333333,1148.3333333333333333,-8080.8333333333333333,8216.6666666666666667,0E-20
2025-12-17T12:00:00-08:00,2025-12-17 20:00:00+00:00,2025-12-17T13:00:00-08:00,2025-12-17 21:00:00+00:00,22825.766250000000,5411.8333333333333333,18412.750000000000,0.85083368631830260466,21640.833333333333,12580.333333333333,3648.6666666666666667,744.9166666666666667,241.4166666666666667,149.7500000000000000,210.4166666666666667,0E-20,1124.9166666666666667,3303.2500000000000000,837.2500000000000000,-8524.8333333333333333,7956.5000000000000000,0E-20
2025-12-17T13:00:00-08:00,2025-12-17 21:00:00+00:00,2025-12-17T14:00:00-08:00,2025-12-17 22:00:00+00:00,23195.657291666667,4595.8333333333333333,18810.750000000000,0.86689478777823862851,21699.000000000000,13196.583333333333,3906.5833333333333333,733.2500000000000000,240.8333333333333333,150.5833333333333333,211.8333333333333333,0E-20,1125.8333333333333333,3460.0833333333333333,371.0833333333333333,-7581.7500000000000000,6841.0833333333333333,0E-20
2025-12-17T14:00:00-08:00,2025-12-17 22:00:00+00:00,2025-12-17T15:00:00-08:00,2025-12-17 23:00:00+00:00,24074.665416666667,6984.9166666666666667,17178.583333333333,0.75928279133839414800,22624.750000000000,12531.000000000000,3108.8333333333333333,734.1666666666666667,239.7500000000000000,150.8333333333333333,213.7500000000000000,0E-20,1126.5833333333333333,3686.4166666666666667,200.2500000000000000,-4751.0000000000000000,6068.1666666666666667,0E-20
2025-12-17T15:00:00-08:00,2025-12-17 23:00:00+00:00,2025-12-17T16:00:00-08:00,2025-12-18 00:00:00+00:00,25349.772500000000,14000.000000000000,12346.250000000000,0.51094626192397624516,24163.500000000000,7532.8333333333333333,2630.6666666666666667,739.1666666666666667,241.1666666666666667,151.2500000000000000,234.9166666666666667,0E-20,1127.5833333333333333,4233.6666666666666667,816.2500000000000000,-576.8333333333333333,7456.9166666666666667,0E-20
2025-12-17T16:00:00-08:00,2025-12-18 00:00:00+00:00,2025-12-17T17:00:00-08:00,2025-12-18 01:00:00+00:00,26746.860625000000,22077.583333333333,7492.5000000000000000,0.28914151565339035823,25912.916666666667,963.9166666666666667,2871.4166666666666667,721.7500000000000000,243.1666666666666667,153.9166666666666667,251.5833333333333333,0E-20,1129.0000000000000000,5308.5833333333333333,2286.7500000000000000,3658.0833333333333333,8573.6666666666666667,0E-20
2025-12-17T17:00:00-08:00,2025-12-18 01:00:00+00:00,2025-12-17T18:00:00-08:00,2025-12-18 02:00:00+00:00,27994.653333333333,24064.833333333333,7260.4166666666666667,0.26243971793566499604,27665.083333333333,-34.5000000000000000,3634.7500000000000000,705.8333333333333333,241.5833333333333333,153.5833333333333333,242.6666666666666667,0E-20,1127.9166666666666667,5802.7500000000000000,2316.5000000000000000,4893.5833333333333333,9326.5000000000000000,0E-20
2025-12-17T18:00:00-08:00,2025-12-18 02:00:00+00:00,2025-12-17T19:00:00-08:00,2025-12-18 03:00:00+00:00,27896.791041666667,23898.000000000000,7322.5000000000000000,0.26605101809098478218,27522.916666666667,-49.3333333333333333,3674.2500000000000000,736.1666666666666667,241.7500000000000000,154.6666666666666667,250.6666666666666667,0E-20,1129.1666666666666667,5889.0000000000000000,2314.3333333333333333,4387.6666666666666667,9570.3333333333333333,0E-20
2025-12-17T19:00:00-08:00,2025-12-18 03:00:00+00:00,2025-12-17T20:00:00-08:00,2025-12-18 04:00:00+00:00,27487.978958333333,23409.583333333333,7432.3333333333333333,0.27468239424690863395,27057.916666666667,-52.9166666666666667,3701.2500000000000000,735.3333333333333333,242.2500000000000000,155.7500000000000000,254.1666666666666667,0E-20,1128.9166666666666667,5873.3333333333333333,2396.5000000000000000,4241.6666666666666667,9231.0000000000000000,0E-20
2025-12-17T20:00:00-08:00,2025-12-18 04:00:00+00:00,2025-12-17T21:00:00-08:00,2025-12-18 05:00:00+00:00,27019.302708333333,22443.333333333333,8046.3333333333333333,0.30112114266111552915,26721.250000000000,-57.1666666666666667,4335.0833333333333333,741.7500000000000000,240.7500000000000000,155.1666666666666667,255.3333333333333333,0E-20,1129.3333333333333333,5483.0000000000000000,2375.4166666666666667,3588.8333333333333333,9266.4166666666666667,0E-20
2025-12-17T21:00:00-08:00,2025-12-18 05:00:00+00:00,2025-12-17T22:00:00-08:00,2025-12-18 06:00:00+00:00,26276.648541666667,21961.750000000000,7857.0000000000000000,0.29952633133932910855,26231.416666666667,-55.3333333333333333,4325.0000000000000000,745.0000000000000000,241.5000000000000000,158.2500000000000000,256.5000000000000000,0E-20,1128.0833333333333333,5317.0833333333333333,2186.0833333333333333,3314.0833333333333333,9391.0000000000000000,0E-20
2025-12-17T22:00:00-08:00,2025-12-18 06:00:00+00:00,2025-12-17T23:00:00-08:00,2025-12-18 07:00:00+00:00,24925.326041666667,20826.500000000000,7439.8333333333333333,0.29915792930359111486,24869.250000000000,-55.9166666666666667,4098.6666666666666667,742.0000000000000000,237.4166666666666667,159.0833333333333333,255.7500000000000000,0E-20,1127.0833333333333333,5134.8333333333333333,2002.8333333333333333,1890.6666666666666667,10117.5833333333333333,0E-20
2025-12-17T23:00:00-08:00,2025-12-18 07:00:00+00:00,2025-12-18T00:00:00-08:00,2025-12-18 08:00:00+00:00,23490.436666666667,19393.583333333333,6982.0000000000000000,0.30076569898301677934,23214.083333333333,-56.0833333333333333,3876.5833333333333333,743.9166666666666667,236.0833333333333333,159.9166666666666667,240.5833333333333333,0E-20,1128.0000000000000000,5146.6666666666666667,1781.0000000000000000,353.6666666666666667,10442.0000000000000000,0E-20
2025-12-18T00:00:00-08:00,2025-12-18 08:00:00+00:00,2025-12-18T01:00:00-08:00,2025-12-18 09:00:00+00:00,22707.408750000000,18950.583333333333,6532.5000000000000000,0.29052917151561423316,22484.833333333333,-56.0000000000000000,3590.2500000000000000,738.5833333333333333,235.9166666666666667,159.4166666666666667,218.1666666666666667,0E-20,1128.7500000000000000,5479.8333333333333333,1646.1666666666666667,144.1666666666666667,10107.9166666666666667,0E-20
2025-12-18T01:00:00-08:00,2025-12-18 09:00:00+00:00,2025-12-18T02:00:00-08:00,2025-12-18 10:00:00+00:00,21815.926875000000,18486.083333333333,6002.5000000000000000,0.27787207777177686478,21601.666666666667,-56.2500000000000000,3171.8333333333333333,736.7500000000000000,235.9166666666666667,159.1666666666666667,208.2500000000000000,0E-20,1128.0000000000000000,5403.1666666666666667,1546.8333333333333333,-160.8333333333333333,10078.7500000000000000,0E-20
2025-12-18T02:00:00-08:00,2025-12-18 10:00:00+00:00,2025-12-18T03:00:00-08:00,2025-12-18 11:00:00+00:00,21168.760000000000,18460.666666666667,5460.1666666666666667,0.26142189700642761825,20886.416666666667,-56.0833333333333333,2481.8333333333333333,738.0000000000000000,235.8333333333333333,159.0000000000000000,206.8333333333333333,0E-20,1128.2500000000000000,5232.5000000000000000,1694.7500000000000000,-271.7500000000000000,10160.5833333333333333,0E-20
